Isolate,Collection_time,Country,Nextstrain_clade,Source
hCoV-19/Niger/EP132/2020.914/19B,2020.914,Niger,19B,GISAID
hCoV-19/Coted-Ivoire/316001-cv216/2021.341/19B,2021.341,Coted-Ivoire,19B,GISAID
hCoV-19/Rwanda/NRLNAT1088/2020.96/19B,2020.96,Rwanda,19B,GISAID
hCoV-19/Guinea/CERFIG-23158/2021.319/19B,2021.319,Guinea,19B,GISAID
hCoV-19/Niger/2826/2020.25/19B,2020.25,Niger,19B,GISAID
hCoV-19/Niger/7322/2020.512/19B,2020.512,Niger,19B,GISAID
hCoV-19/Togo/BMC-16660-20/2020.403/19B,2020.403,Togo,19B,GISAID
hCoV-19/Niger/ZR-188/2020.906/19B,2020.906,Niger,19B,GISAID
hCoV-19/Coted-Ivoire/BKE0369/2020.496/19B,2020.496,Coted-Ivoire,19B,GISAID
hCoV-19/Coted-Ivoire/BKE0355/2020.493/19B,2020.493,Coted-Ivoire,19B,GISAID
hCoV-19/Coted-Ivoire/COV-BKE1155/bc73/2020.805/19B,2020.805,Coted-Ivoire,19B,GISAID
hCoV-19/Coted-Ivoire/BKE0405/2020.501/19B,2020.501,Coted-Ivoire,19B,GISAID
hCoV-19/Coted-Ivoire/BKE0366/2020.463/19B,2020.463,Coted-Ivoire,19B,GISAID
hCoV-19/Tunisia/P1603/2020.28/19A,2020.28,Tunisia,19A,GISAID
hCoV-19/Gabon/U0604/2020.772/19A,2020.772,Gabon,19A,GISAID
hCoV-19/Sweden/20-52115/2020.474/20A,2020.474,Sweden,20A,GISAID
hCoV-19/Canada/NL-NML-2388/2020.258/20A,2020.258,Canada,20A,GISAID
hCoV-19/Gabon/K0688/2020.286/20A,2020.286,Gabon,20A,GISAID
hCoV-19/Canada/QC-JUS-V6020812/2020.255/20A,2020.255,Canada,20A,GISAID
hCoV-19/DRC/165/2020.217/20A,2020.217,DRC,20A,GISAID
hCoV-19/Germany/BAV-MVP0108/2020.283/20A,2020.283,Germany,20A,GISAID
hCoV-19/Pakistan/JRCGR-KHI22/2020.337/20A,2020.337,Pakistan,20A,GISAID
hCoV-19/Senegal/9838/2020.316/20A,2020.316,Senegal,20A,GISAID
hCoV-19/Norway/2514/2020.346/20A,2020.346,Norway,20A,GISAID
hCoV-19/Malta/BAL-Sliema-3/2020.619/20A,2020.619,Malta,20A,GISAID
hCoV-19/Malta/BAL-Sliema-1/2020.633/20A,2020.633,Malta,20A,GISAID
hCoV-19/Malta/BAL-Sliema-5/2020.635/20A,2020.635,Malta,20A,GISAID
hCoV-19/Aruba/AW-RIVM-10115/2020.217/20A,2020.217,Aruba,20A,GISAID
