Isolate,Accession_number,Collection_time,Location,Global_clade,Source
A/Wellington/94/2014/2014.708/3C.3a,EPI_ISL_192834,2014.708,Wellington,3C.3a,GISAID
A/Sichuan-Gaoxin/1192/2014/2014.667/3C.3a,EPI_ISL_169744,2014.667,Sichuan-Gaoxin,3C.3a,GISAID
A/Yunnan-Wenshan/1805/2015/2015.76/3C.3a,EPI_ISL_207833,2015.76,Yunnan-Wenshan,3C.3a,GISAID
A/Zhejiang-Yuecheng/1909/2016/2016.794/3C.3a,EPI_ISL_242498,2016.794,Zhejiang-Yuecheng,3C.3a,GISAID
A/Thailand/CU-H3656/2014/2014.67/3C.3a,EPI_ISL_205396,2014.67,Thailand,3C.3a,GISAID
A/SaudiArabia/8/2014/2014.758/3C.3a,EPI_ISL_257195,2014.758,SaudiArabia,3C.3a,GISAID
A/Yunnan-Linxiang/11032/2014/2014.842/3C.3a,EPI_ISL_169662,2014.842,Yunnan-Linxiang,3C.3a,GISAID
A/Zhejiang-Yongkang/1968/2016/2016.922/3C.3a,EPI_ISL_242484,2016.922,Zhejiang-Yongkang,3C.3a,GISAID
A/Tokyo/34254/2014/2014.651/3C.3a,EPI_ISL_169226,2014.651,Tokyo,3C.3a,GISAID
A/Yokosuka/9/2014/2014.919/3C.3a,EPI_ISL_171875,2014.919,Yokosuka,3C.3a,GISAID
A/Yokohama/92/2014/2014.801/3C.3a,EPI_ISL_169194,2014.801,Yokohama,3C.3a,GISAID
A/Talca/79797/2015/2015.848/3C.3a,EPI_ISL_207456,2015.848,Talca,3C.3a,GISAID
A/Valdivia/72413/2015/2015.763/3C.3a,EPI_ISL_203315,2015.763,Valdivia,3C.3a,GISAID
A/Roraima/144238-IEC/2016/2016.799/3C.3a,EPI_ISL_247964,2016.799,Roraima,3C.3a,GISAID
A/Nevada/22/2016/2016.173/3C.3a,EPI_ISL_222079,2016.173,Nevada,3C.3a,GISAID
A/Valparaiso/63203/2016/2016.671/3C.3a,EPI_ISL_259487,2016.671,Valparaiso,3C.3a,GISAID
A/Uganda/2447/2016/2016.928/3C.3a,EPI_ISL_255342,2016.928,Uganda,3C.3a,GISAID
A/Perth/22/2016/2016.288/3C.3a,EPI_ISL_289090,2016.288,Perth,3C.3a,GISAID
A/Idaho/33/2016/2016.433/3C.3a,EPI_ISL_232560,2016.433,Idaho,3C.3a,GISAID
A/Idaho/33/2016-egg/2016.433/3C.3a,EPI_ISL_230320,2016.433,Idaho,3C.3a,GISAID
A/Wellington/4/2016/2016.548/3C.3a,EPI_ISL_233289,2016.548,Wellington,3C.3a,GISAID
A/Townsville/51/2016/2016.949/3C.3a,EPI_ISL_246674,2016.949,Townsville,3C.3a,GISAID
A/Victoria/504/2016/2016.37/3C.3a,EPI_ISL_233842,2016.37,Victoria,3C.3a,GISAID
A/NewZealand/831/2016/2016.633/3C.3a,EPI_ISL_235066,2016.633,NewZealand,3C.3a,GISAID
A/Nc/4690/2014/2014.281/3C.3a,EPI_ISL_303855,2014.281,Nc,3C.3a,GISAID
A/Texas/88/2016/2016.149/3C.3a,EPI_ISL_222065,2016.149,Texas,3C.3a,GISAID
A/Peru/27/2015/2015.281/3C.3a,EPI_ISL_192696,2015.281,Peru,3C.3a,GISAID
A/Kenya/160/2018/2018.582/3C.3a,EPI_ISL_339852,2018.582,Kenya,3C.3a,GISAID
A/Colombia/6646/2017/2017.859/3C.3a,EPI_ISL_303263,2017.859,Colombia,3C.3a,GISAID
A/Virginia/27/2017/2017.264/3C.3a,EPI_ISL_275956,2017.264,Virginia,3C.3a,GISAID
A/Texas/71/2017/2017.21/3C.3a,EPI_ISL_275955,2017.21,Texas,3C.3a,GISAID
A/Brazil/4139/2018/2018.593/3C.3a,EPI_ISL_330897,2018.593,Brazil,3C.3a,GISAID
A/Pernambuco/151608-IEC/2018/2018.127/3C.3a,EPI_ISL_329823,2018.127,Pernambuco,3C.3a,GISAID
A/SantaCatarina/918/2017/2017.79/3C.3a,EPI_ISL_292525,2017.79,SantaCatarina,3C.3a,GISAID
A/Kansas/14/2017-egg/2017.952/3C.3a1,EPI_ISL_312833,2017.952,Kansas,3C.3a1,GISAID
A/Kansas/14/2017/2017.952/3C.3a1,EPI_ISL_298310,2017.952,Kansas,3C.3a1,GISAID
A/Indiana/8/2018/2018.1/3C.3a1,EPI_ISL_305809,2018.1,Indiana,3C.3a1,GISAID
A/Peru/6019/2019/2019.681/3C.3a1,EPI_ISL_430758,2019.681,Peru,3C.3a1,GISAID
A/Wellington/52/2019/2019.642/3C.3a1,EPI_ISL_406624,2019.642,Wellington,3C.3a1,GISAID
A/Wellington/53/2019/2019.727/3C.3a1,EPI_ISL_406625,2019.727,Wellington,3C.3a1,GISAID
A/Newcastle/1/2021/2021.747/3C.3a1,EPI_ISL_5933276,2021.747,Newcastle,3C.3a1,GISAID
A/Brisbane/501/2021/2021.374/3C.3a1,EPI_ISL_3355458,2021.374,Brisbane,3C.3a1,GISAID
A/Bolivia/3906/2018/2018.692/3C.3a1,EPI_ISL_332974,2018.692,Bolivia,3C.3a1,GISAID
A/Finland/114/2019/2019.327/3C.3a1,EPI_ISL_367846,2019.327,Finland,3C.3a1,GISAID
A/Victoria/975/2019/2019.314/3C.3a1,EPI_ISL_389035,2019.314,Victoria,3C.3a1,GISAID
A/Santiago/49892/2019/2019.423/3C.3a1,EPI_ISL_390209,2019.423,Santiago,3C.3a1,GISAID
A/Pennsylvania/866/2019/2019.259/3C.3a1,EPI_ISL_362427,2019.259,Pennsylvania,3C.3a1,GISAID
A/Argentina/2852/2019/2019.867/3C.3a1,EPI_ISL_402399,2019.867,Argentina,3C.3a1,GISAID
A/Peru/6219/2019/2019.971/3C.3a1,EPI_ISL_409422,2019.971,Peru,3C.3a1,GISAID
A/Argentina/1333/2019/2019.536/3C.3a1,EPI_ISL_394918,2019.536,Argentina,3C.3a1,GISAID
A/Peru/6619/2019/2019.774/3C.3a1,EPI_ISL_413245,2019.774,Peru,3C.3a1,GISAID
A/Picardie/1898/2019/2019.267/3C.3a1,EPI_ISL_353979,2019.267,Picardie,3C.3a1,GISAID
A/Malta/53539/2019/2019.062/3C.3a1,EPI_ISL_355076,2019.062,Malta,3C.3a1,GISAID
A/Nepal/20FL0243/2020/2020.097/3C.3a1,EPI_ISL_577618,2020.097,Nepal,3C.3a1,GISAID
A/Sweden/87/2020/2020.16/3C.3a1,EPI_ISL_447874,2020.16,Sweden,3C.3a1,GISAID
A/Poland/1521/2020/2020.012/3C.3a1,EPI_ISL_410029,2020.012,Poland,3C.3a1,GISAID
A/Victoria/79/2020/2020.165/3C.3a1,EPI_ISL_429109,2020.165,Victoria,3C.3a1,GISAID
A/Parma/391/2019/2019.988/3C.3a1,EPI_ISL_410028,2019.988,Parma,3C.3a1,GISAID
A/Victoria/2873/2019/2019.993/3C.3a1,EPI_ISL_410167,2019.993,Victoria,3C.3a1,GISAID
A/Denmark/321/2020/2020.048/3C.3a1,EPI_ISL_407944,2020.048,Denmark,3C.3a1,GISAID
A/Estonia/126086/2020/2020.081/3C.3a1,EPI_ISL_498303,2020.081,Estonia,3C.3a1,GISAID
A/Estonia/127241/2020/2020.176/3C.3a1,EPI_ISL_500733,2020.176,Estonia,3C.3a1,GISAID
A/Tokyo/12003/2012/2012.583/3C,EPI_ISL_132217,2012.583,Tokyo,3C,GISAID
A/Thailand/VIROAF1CS/2012/2012.761/3C,EPI_ISL_182836,2012.761,Thailand,3C,GISAID
A/Norway/2103/2012/2012.807/3C,EPI_ISL_136396,2012.807,Norway,3C,GISAID
A/Austria/709778/2012/2012.93/3C,EPI_ISL_134157,2012.93,Austria,3C,GISAID
A/Vietnam/13VH3-4/2013/2013.281/3C,EPI_ISL_173301,2013.281,Vietnam,3C,GISAID
A/Yamaguchi/4/2013/2013.029/3C,EPI_ISL_137259,2013.029,Yamaguchi,3C,GISAID
A/Thailand/SN11893/2013/2013.062/3C,EPI_ISL_208794,2013.062,Thailand,3C,GISAID
A/Osaka/32/2013/2013.33/3C,EPI_ISL_144504,2013.33,Osaka,3C,GISAID
A/Yokohama/164/2012/2012.988/3C,EPI_ISL_134796,2012.988,Yokohama,3C,GISAID
A/Tianjin-Hebei/1212/2012/2012.676/3C,EPI_ISL_133495,2012.676,Tianjin-Hebei,3C,GISAID
A/Wellington/36/2012/2012.54/3C,EPI_ISL_128705,2012.54,Wellington,3C,GISAID
A/Sapporo/121/2012/2012.458/3C,EPI_ISL_132215,2012.458,Sapporo,3C,GISAID
A/Wyoming/18/2012/2012.761/3C,EPI_ISL_130196,2012.761,Wyoming,3C,GISAID
A/Uganda/3634/2012/2012.925/3C,EPI_ISL_138007,2012.925,Uganda,3C,GISAID
A/Zhejiang-Yuecheng/1612/2013/2013.766/3C,EPI_ISL_153297,2013.766,Zhejiang-Yuecheng,3C,GISAID
A/Victoria/711/2013/2013.092/3C,EPI_ISL_141564,2013.092,Victoria,3C,GISAID
A/Tianjin-Hexi/1250/2012/2012.764/3C,EPI_ISL_133494,2012.764,Tianjin-Hexi,3C,GISAID
A/Yokohama/93/2013/2013.095/3C,EPI_ISL_138571,2013.095,Yokohama,3C,GISAID
A/Ulaanbaatar/702/2013/2013.097/3C,EPI_ISL_140305,2013.097,Ulaanbaatar,3C,GISAID
A/Singapore/22/2012/2012.43/3C,EPI_ISL_128750,2012.43,Singapore,3C,GISAID
A/Thailand/KS10521/2012/2012.876/3C,EPI_ISL_208779,2012.876,Thailand,3C,GISAID
A/Wyoming/20/2012/2012.846/3C.2,EPI_ISL_132109,2012.846,Wyoming,3C.2,GISAID
A/Yalova/4145/2013/2013.982/3C.2,EPI_ISL_156914,2013.982,Yalova,3C.2,GISAID
A/Thailand/PY12558/2013/2013.114/3C.2,EPI_ISL_208788,2013.114,Thailand,3C.2,GISAID
A/PassoFundo/LACENRS-1533/2013/2013.464/3C.2,EPI_ISL_263271,2013.464,PassoFundo,3C.2,GISAID
A/Valparaiso/34097/2013/2013.371/3C.2,EPI_ISL_145676,2013.371,Valparaiso,3C.2,GISAID
A/Turkey/426/2012/2012.988/3C.2,EPI_ISL_136404,2012.988,Turkey,3C.2,GISAID
A/Uruguay/396/2013/2013.503/3C.2,EPI_ISL_145678,2013.503,Uruguay,3C.2,GISAID
A/Denmark/78/2012/2012.928/3C.2,EPI_ISL_134042,2012.928,Denmark,3C.2,GISAID
A/Santiago/20181/2013/2013.212/3C.2,EPI_ISL_143262,2013.212,Santiago,3C.2,GISAID
A/Nagasaki/13N001/2014/2013.519/3C.2,EPI_ISL_156851,2013.519,Nagasaki,3C.2,GISAID
A/Venezuela/5/2013/2013.429/3C.2,EPI_ISL_145515,2013.429,Venezuela,3C.2,GISAID
A/Victoria/506/2013/2013.456/3C.2,EPI_ISL_288250,2013.456,Victoria,3C.2,GISAID
A/Victoria/528/2013/2013.547/3C.2,EPI_ISL_288236,2013.547,Victoria,3C.2,GISAID
A/Thailand/CU-B8745/2013/2013.886/3C.2,EPI_ISL_205438,2013.886,Thailand,3C.2,GISAID
A/Victoria/573/2013/2013.673/3C.2,EPI_ISL_151598,2013.673,Victoria,3C.2,GISAID
A/Perth/98/2013/2013.593/3C.2,EPI_ISL_17264957,2013.593,Perth,3C.2,GISAID
A/Vietnam/NT225/2013/2013.525/3C.2,EPI_ISL_157040,2013.525,Vietnam,3C.2,GISAID
A/Vietnam/CD367H/2013/2013.59/3C.2,EPI_ISL_157091,2013.59,Vietnam,3C.2,GISAID
A/Yokohama/159/2013/2013.804/3C.2,EPI_ISL_151441,2013.804,Yokohama,3C.2,GISAID
A/Thailand/CU-B7765/2013/2013.21/3C.2,EPI_ISL_205366,2013.21,Thailand,3C.2,GISAID
A/Vietnam/VP13-65/2013/2013.336/3C.2,EPI_ISL_144998,2013.336,Vietnam,3C.2,GISAID
A/Vietnam/NT252/2013/2013.697/3C.2,EPI_ISL_157088,2013.697,Vietnam,3C.2,GISAID
A/Taiwan/690/2013/2013.39/3C.2,EPI_ISL_145561,2013.39,Taiwan,3C.2,GISAID
A/Lisbon/SU540/2014/2014.155/3C.2,EPI_ISL_165561,2014.155,Lisbon,3C.2,GISAID
A/Nepal/307/2013/2013.374/3C.2,EPI_ISL_166923,2013.374,Nepal,3C.2,GISAID
A/Thailand/CU-H3584/2013/2013.96/3C.2,EPI_ISL_205440,2013.96,Thailand,3C.2,GISAID
A/Tokyo/32045/2014/2014.095/3C.2,EPI_ISL_169216,2014.095,Tokyo,3C.2,GISAID
A/Taiwan/864/2013/2013.977/3C.2,EPI_ISL_154824,2013.977,Taiwan,3C.2,GISAID
A/Taiwan/442/2014/2014.229/3C.2,EPI_ISL_164306,2014.229,Taiwan,3C.2,GISAID
A/Moldova/255/2014/2014.177/3C.2,EPI_ISL_201704,2014.177,Moldova,3C.2,GISAID
A/Belgium/14G0001/2014/2014.007/3C.2,EPI_ISL_154744,2014.007,Belgium,3C.2,GISAID
A/Taiwan/469/2014/2014.264/3C.2,EPI_ISL_164308,2014.264,Taiwan,3C.2,GISAID
A/Tokyo/34059/2014/2014.333/3C.2,EPI_ISL_167126,2014.333,Tokyo,3C.2,GISAID
A/Yamagata/197/2014/2014.253/3C.2,EPI_ISL_164520,2014.253,Yamagata,3C.2,GISAID
A/Yamagata/186/2014/2014.24/3C.2,EPI_ISL_164677,2014.24,Yamagata,3C.2,GISAID
A/Bangladesh/2021/2013/2013.812/3C.2,EPI_ISL_157086,2013.812,Bangladesh,3C.2,GISAID
A/Thailand/CU-H3626/2014/2014.179/3C.2,EPI_ISL_205394,2014.179,Thailand,3C.2,GISAID
A/Thailand/CU-H3611/2014/2014.152/3C.2,EPI_ISL_205444,2014.152,Thailand,3C.2,GISAID
A/Thailand/CU-H3649/2014/2014.519/3C.2a,EPI_ISL_205395,2014.519,Thailand,3C.2a,GISAID
A/HongKong/4801/2014-egg/2014.155/3C.2a,EPI_ISL_195755,2014.155,HongKong,3C.2a,GISAID
A/Thailand/CU-B11065/2014/2014.785/3C.2a,EPI_ISL_205398,2014.785,Thailand,3C.2a,GISAID
A/SriLanka/64/2014/2014.9/3C.2a,EPI_ISL_192765,2014.9,SriLanka,3C.2a,GISAID
A/SriLanka/72/2014/2014.993/3C.2a,EPI_ISL_192766,2014.993,SriLanka,3C.2a,GISAID
A/SriLanka/1/2015/2015.004/3C.2a,EPI_ISL_192761,2015.004,SriLanka,3C.2a,GISAID
A/HongKong/4801/2014/2014.155/3C.2a,EPI_ISL_165554,2014.155,HongKong,3C.2a,GISAID
A/Wisconsin/14/2014/2014.492/3C.2a,EPI_ISL_164824,2014.492,Wisconsin,3C.2a,GISAID
A/Austria/832769/2014/2014.993/3C.2a,EPI_ISL_170370,2014.993,Austria,3C.2a,GISAID
A/Austria/842675/2015/2015.149/3C.2a,EPI_ISL_175589,2015.149,Austria,3C.2a,GISAID
A/Ukraine/6456/2015/2015.16/3C.2a,EPI_ISL_190936,2015.16,Ukraine,3C.2a,GISAID
A/Temuco/66832/2015/2015.705/3C.2a,EPI_ISL_203314,2015.705,Temuco,3C.2a,GISAID
A/Singapore/TT141/2015/2015.149/3C.2a,EPI_ISL_215700,2015.149,Singapore,3C.2a,GISAID
A/Townsville/1/2017/2017.144/3C.2a4,EPI_ISL_269361,2017.144,Townsville,3C.2a4,GISAID
A/Yokohama/139/2017/2017.382/3C.2a4,EPI_ISL_273493,2017.382,Yokohama,3C.2a4,GISAID
A/Bermuda/362/2017/2017.089/3C.2a4,EPI_ISL_273646,2017.089,Bermuda,3C.2a4,GISAID
A/Yokohama/31/2017/2017.045/3C.2a4,EPI_ISL_258261,2017.045,Yokohama,3C.2a4,GISAID
A/Yamanashi/1790/2017/2017.177/3C.2a4,EPI_ISL_276999,2017.177,Yamanashi,3C.2a4,GISAID
A/Honduras/188/2017/2017.368/3C.2a4,EPI_ISL_275716,2017.368,Honduras,3C.2a4,GISAID
A/Singapore/TT0096/2017/2017.07/3C.2a4,EPI_ISL_255573,2017.07,Singapore,3C.2a4,GISAID
A/Yokohama/84/2017/2017.103/3C.2a4,EPI_ISL_264321,2017.103,Yokohama,3C.2a4,GISAID
A/Indonesia/Nihrd-Pal350/2017/2017.171/3C.2a4,EPI_ISL_295841,2017.171,Indonesia,3C.2a4,GISAID
A/Bangladesh/1010/2017/2017.314/3C.2a4,EPI_ISL_270162,2017.314,Bangladesh,3C.2a4,GISAID
A/Victoria/2018/2017/2017.316/3C.2a4,EPI_ISL_271309,2017.316,Victoria,3C.2a4,GISAID
A/Austria/1121455/2019/2019.078/3C.2a4,EPI_ISL_344591,2019.078,Austria,3C.2a4,GISAID
A/Latvia/3-0738053/2019/2019.155/3C.2a4,EPI_ISL_363150,2019.155,Latvia,3C.2a4,GISAID
A/Victoria/9/2015/2015.385/3C.2a,EPI_ISL_198091,2015.385,Victoria,3C.2a,GISAID
A/SaoPaulo/9-134/2014/2014.955/3C.2a,EPI_ISL_172299,2014.955,SaoPaulo,3C.2a,GISAID
A/Hawaii/47/2014/2014.544/3C.2a,EPI_ISL_168126,2014.544,Hawaii,3C.2a,GISAID
A/Tocantins/4622/2015/2015.051/3C.2a,EPI_ISL_174486,2015.051,Tocantins,3C.2a,GISAID
A/Ordu/1603/2014/2014.834/3C.2a,EPI_ISL_179370,2014.834,Ordu,3C.2a,GISAID
A/Singapore/TT089/2015/2015.07/3C.2a,EPI_ISL_215296,2015.07,Singapore,3C.2a,GISAID
A/India/609/2015/2015.141/3C.2a,EPI_ISL_212992,2015.141,India,3C.2a,GISAID
A/Michigan/15/2014/2014.73/3C.2a,EPI_ISL_166994,2014.73,Michigan,3C.2a,GISAID
A/NewCaledonia/71/2014-egg/2014.615/3C.2a,EPI_ISL_169519,2014.615,NewCaledonia,3C.2a,GISAID
A/HongKong/7127/2014-egg/2014.574/3C.2a,EPI_ISL_218462,2014.574,HongKong,3C.2a,GISAID
A/Stavropol/8/2015/2015.941/3C.2a,EPI_ISL_209098,2015.941,Stavropol,3C.2a,GISAID
A/SriLanka/73/2014/2014.771/3C.2a,EPI_ISL_192767,2014.771,SriLanka,3C.2a,GISAID
A/SriLanka/8/2015/2015.229/3C.2a,EPI_ISL_198067,2015.229,SriLanka,3C.2a,GISAID
A/Mozambique/IR499/2015/2015.138/3C.2a,EPI_ISL_201676,2015.138,Mozambique,3C.2a,GISAID
A/SouthAfrica/R1734/2015/2015.319/3C.2a,EPI_ISL_193189,2015.319,SouthAfrica,3C.2a,GISAID
A/SouthAfrica/R3989/2015/2015.511/3C.2a,EPI_ISL_193215,2015.511,SouthAfrica,3C.2a,GISAID
A/SouthAfrica/4639/2016/2016.512/3C.2a,EPI_ISL_232543,2016.512,SouthAfrica,3C.2a,GISAID
A/Zambia/9-00008/2015/2015.862/3C.2a,EPI_ISL_213106,2015.862,Zambia,3C.2a,GISAID
A/SouthAfrica/R4157/2015/2015.448/3C.2a,EPI_ISL_193216,2015.448,SouthAfrica,3C.2a,GISAID
A/Santiago/3142/2016/2016.034/3C.2a,EPI_ISL_231672,2016.034,Santiago,3C.2a,GISAID
A/Sapporo/71/2015/2015.955/3C.2a,EPI_ISL_210374,2015.955,Sapporo,3C.2a,GISAID
A/Bangladesh/3400/2015/2015.396/3C.2a,EPI_ISL_195894,2015.396,Bangladesh,3C.2a,GISAID
A/Tunisia/559/2016/2016.034/3C.2a,EPI_ISL_213097,2016.034,Tunisia,3C.2a,GISAID
A/South-Africa/VW0105/2016/2016.602/3C.2a,EPI_ISL_237661,2016.602,South-Africa,3C.2a,GISAID
A/Bangladesh/203006/2015/2015.922/3C.2a,EPI_ISL_208595,2015.922,Bangladesh,3C.2a,GISAID
A/Phuket/421/2016/2016.933/3C.2a,EPI_ISL_249988,2016.933,Phuket,3C.2a,GISAID
A/Oman/5191/2016/2016.436/3C.2a,EPI_ISL_233476,2016.436,Oman,3C.2a,GISAID
A/Wisconsin/20/2015/2015.149/3C.2a,EPI_ISL_176732,2015.149,Wisconsin,3C.2a,GISAID
A/Nebraska/19/2015/2015.81/3C.2a,EPI_ISL_205651,2015.81,Nebraska,3C.2a,GISAID
A/Sendai-H/N280/2015/2015.558/3C.2a,EPI_ISL_195751,2015.558,Sendai-H,3C.2a,GISAID
A/Yokohama/109/2016/2016.184/3C.2a,EPI_ISL_222745,2016.184,Yokohama,3C.2a,GISAID
A/Washington/37/2015/2015.344/3C.2a,EPI_ISL_191684,2015.344,Washington,3C.2a,GISAID
A/Kilifi/99/2015/2015.955/3C.2a,EPI_ISL_393936,2015.955,Kilifi,3C.2a,GISAID
A/Uganda/215/2017/2017.059/3C.2a,EPI_ISL_255341,2017.059,Uganda,3C.2a,GISAID
A/Uganda/1610/2016/2016.116/3C.2a,EPI_ISL_226798,2016.116,Uganda,3C.2a,GISAID
A/SouthAfrica/R2665/2015/2015.396/3C.2a,EPI_ISL_193193,2015.396,SouthAfrica,3C.2a,GISAID
A/Wellington/7/2015/2015.459/3C.2a,EPI_ISL_198075,2015.459,Wellington,3C.2a,GISAID
A/Victoria/898/2015/2015.648/3C.2a,EPI_ISL_202758,2015.648,Victoria,3C.2a,GISAID
A/Townsville/37/2015/2015.796/3C.2a,EPI_ISL_220144,2015.796,Townsville,3C.2a,GISAID
A/Athens/2282/2015/2015.958/3C.2a,EPI_ISL_213072,2015.958,Athens,3C.2a,GISAID
A/Wellington/4/2015/2015.538/3C.2a,EPI_ISL_202671,2015.538,Wellington,3C.2a,GISAID
A/Townsville/38/2015/2016.086/3C.2a,EPI_ISL_239844,2016.086,Townsville,3C.2a,GISAID
A/Victoria/944/2014/2014.84/3C.2a,EPI_ISL_15146470,2014.84,Victoria,3C.2a,GISAID
A/Tak/150/2015/2015.308/3C.2a,EPI_ISL_197939,2015.308,Tak,3C.2a,GISAID
A/NewJersey/26/2014/2014.878/3C.2a,EPI_ISL_169307,2014.878,NewJersey,3C.2a,GISAID
A/Yokohama/88/2015/2015.3/3C.2a,EPI_ISL_191754,2015.3,Yokohama,3C.2a,GISAID
A/Finland/462/2014/2014.768/3C.2a,EPI_ISL_175021,2014.768,Finland,3C.2a,GISAID
A/Wisconsin/24/2015/2015.185/3C.2a,EPI_ISL_178994,2015.185,Wisconsin,3C.2a,GISAID
A/Wisconsin/9/2015/2015.133/3C.2a,EPI_ISL_176658,2015.133,Wisconsin,3C.2a,GISAID
A/Ukraine/6809/2015/2015.281/3C.2a,EPI_ISL_190939,2015.281,Ukraine,3C.2a,GISAID
A/YoshkarOla/CRIE-80/2015/2015.149/3C.2a,EPI_ISL_191608,2015.149,YoshkarOla,3C.2a,GISAID
A/Moscow/CRIE-145/2015/2015.273/3C.2a,EPI_ISL_194829,2015.273,Moscow,3C.2a,GISAID
A/Yekaterinburg/239/2015/2015.174/3C.2a,EPI_ISL_205181,2015.174,Yekaterinburg,3C.2a,GISAID
A/Tokyo/40778/2014/2014.571/3C.2a,EPI_ISL_167130,2014.571,Tokyo,3C.2a,GISAID
A/Saitama/103/2014-egg/2014.878/3C.2a,EPI_ISL_218952,2014.878,Saitama,3C.2a,GISAID
A/Yokohama/5/2015/2015.015/3C.2a,EPI_ISL_171885,2015.015,Yokohama,3C.2a,GISAID
A/Victoria/509/2015/2015.311/3C.2a,EPI_ISL_197910,2015.311,Victoria,3C.2a,GISAID
A/Yokohama/97/2014/2014.867/3C.2a,EPI_ISL_169794,2014.867,Yokohama,3C.2a,GISAID
A/Saitama/103/2014/2014.878/3C.2a,EPI_ISL_269605,2014.878,Saitama,3C.2a,GISAID
A/NewCaledonia/71/2014/2014.615/3C.2a,EPI_ISL_15146402,2014.615,NewCaledonia,3C.2a,GISAID
A/Yokohama/81/2015/2015.166/3C.2a,EPI_ISL_188625,2015.166,Yokohama,3C.2a,GISAID
A/Finland/504/2015/2015.034/3C.2a,EPI_ISL_195255,2015.034,Finland,3C.2a,GISAID
A/Vietnam/171/2015/2015.242/3C.2a,EPI_ISL_210369,2015.242,Vietnam,3C.2a,GISAID
A/Wyoming/9/2014/2014.771/3C.2a,EPI_ISL_167402,2014.771,Wyoming,3C.2a,GISAID
A/Wyoming/17/2014/2014.897/3C.2a,EPI_ISL_170020,2014.897,Wyoming,3C.2a,GISAID
A/SouthAfrica/5390/2015/2015.656/3C.2a,EPI_ISL_205284,2015.656,SouthAfrica,3C.2a,GISAID
A/PaysdeLoire/664/2015/2015.089/3C.2a,EPI_ISL_175289,2015.089,PaysdeLoire,3C.2a,GISAID
A/Fiji/2/2015/2015.166/3C.2a,EPI_ISL_194166,2015.166,Fiji,3C.2a,GISAID
A/Austria/97/2014/2014.637/3C.2a,EPI_ISL_166345,2014.637,Austria,3C.2a,GISAID
A/Wyoming/2/2015/2015.04/3C.2a,EPI_ISL_176719,2015.04,Wyoming,3C.2a,GISAID
A/Yokohama/55/2015/2015.089/3C.2a,EPI_ISL_175303,2015.089,Yokohama,3C.2a,GISAID
A/Vologda/CRIE-22/2015/2015.062/3C.2a,EPI_ISL_191573,2015.062,Vologda,3C.2a,GISAID
A/Wisconsin/69/2015/2015.497/3C.2a,EPI_ISL_193322,2015.497,Wisconsin,3C.2a,GISAID
A/Yokohama/123/2016/2016.411/3C.2a,EPI_ISL_224694,2016.411,Yokohama,3C.2a,GISAID
A/Stockholm/40/2015/2015.632/3C.2a,EPI_ISL_213094,2015.632,Stockholm,3C.2a,GISAID
A/Parana/293/2016/2016.239/3C.2a,EPI_ISL_274147,2016.239,Parana,3C.2a,GISAID
A/Colombia/7208/2015/2015.982/3C.2a,EPI_ISL_212054,2015.982,Colombia,3C.2a,GISAID
A/Peru/8316/2016/2016.633/3C.2a,EPI_ISL_240144,2016.633,Peru,3C.2a,GISAID
A/SouthAfrica/4363/2016/2016.493/3C.2a,EPI_ISL_232555,2016.493,SouthAfrica,3C.2a,GISAID
A/Texas/183/2016/2016.665/3C.2a,EPI_ISL_238627,2016.665,Texas,3C.2a,GISAID
A/Valparaiso/33881/2016/2016.376/3C.2a,EPI_ISL_231677,2016.376,Valparaiso,3C.2a,GISAID
A/Vina/50464/2016/2016.537/3C.2a,EPI_ISL_234648,2016.537,Vina,3C.2a,GISAID
A/Valparaiso/49572/2016/2016.447/3C.2a,EPI_ISL_231682,2016.447,Valparaiso,3C.2a,GISAID
A/Marseille/2588/2015/2015.914/3C.2a3,EPI_ISL_237635,2015.914,Marseille,3C.2a3,GISAID
A/Picardie/973/2017/2017.119/3C.2a3,EPI_ISL_253468,2017.119,Picardie,3C.2a3,GISAID
A/Dakar/17/2016/2016.668/3C.2a3,EPI_ISL_264062,2016.668,Dakar,3C.2a3,GISAID
A/Nonthaburi/414/2016/2016.876/3C.2a3,EPI_ISL_249987,2016.876,Nonthaburi,3C.2a3,GISAID
A/Singapore/TT1374/2016/2016.917/3C.2a3,EPI_ISL_277146,2016.917,Singapore,3C.2a3,GISAID
A/Lao/753/2017/2017.158/3C.2a3,EPI_ISL_268301,2017.158,Lao,3C.2a3,GISAID
A/Maryland/23/2016/2016.903/3C.2a3,EPI_ISL_249050,2016.903,Maryland,3C.2a3,GISAID
A/Ghana/2717/2017/2017.705/3C.2a3,EPI_ISL_292905,2017.705,Ghana,3C.2a3,GISAID
A/Poland/MW11K/2017/2017.01/3C.2a3,EPI_ISL_259585,2017.01,Poland,3C.2a3,GISAID
A/Moscow/165/2016/2016.9/3C.2a3,EPI_ISL_249007,2016.9,Moscow,3C.2a3,GISAID
A/Valladolid/294/2016/2016.947/3C.2a3,EPI_ISL_242816,2016.947,Valladolid,3C.2a3,GISAID
A/UlanUde/1/2016/2016.933/3C.2a3,EPI_ISL_259123,2016.933,UlanUde,3C.2a3,GISAID
A/Antananarivo/1998/2017/2017.336/3C.2a3,EPI_ISL_277470,2017.336,Antananarivo,3C.2a3,GISAID
A/Tunis/14115/2016/2016.914/3C.2a3,EPI_ISL_248462,2016.914,Tunis,3C.2a3,GISAID
