Isolate,Accession_number,Collection_time,Country,Continent,Clade,Source
ERR137210,ERR137210,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234660,ERR234660,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108436,ERR108436,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133930,ERR133930,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108473,ERR108473,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234641,ERR234641,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133826,ERR133826,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133854,ERR133854,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144632,ERR144632,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067576,ERR067576,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228029,ERR228029,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137225,ERR137225,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234615,ERR234615,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228019,ERR228019,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133845,ERR133845,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067698,ERR067698,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133868,ERR133868,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229933,ERR229933,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144551,ERR144551,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234590,ERR234590,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228061,ERR228061,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR117468,ERR117468,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234565,ERR234565,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144556,ERR144556,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234666,ERR234666,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234570,ERR234570,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228046,ERR228046,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067652,ERR067652,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067662,ERR067662,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR158586,ERR158586,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067711,ERR067711,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234618,ERR234618,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229921,ERR229921,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229918,ERR229918,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229980,ERR229980,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234633,ERR234633,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
